ad_id,platform,brand,ad_format,creative_theme,cta_type,audience_segment,language,budget_daily_inr,bid_strategy,ad_copy_length_words,has_price_mention,has_offer_mention,has_expert_mention,has_urgency_words,has_emoji_in_copy,video_duration_seconds,days_active,month_launched,is_own_brand,impressions,clicks,installs,spent_inr,ctr,cpi_inr,d0_removal_rate,d1_retention_rate,d7_retention_rate,purchase_within_7d_rate,onboarding_completion_rate,avg_session_duration_seconds,install_quality_score
AD_1001,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,10,1,0,400000,28000,2800,45000.0,0.07,16.1,0.55,0.15,0.04,0.08,0.5,90,35
AD_1002,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,10,1,0,200000,6000,600,30000.0,0.03,50.0,0.3,0.3,0.15,0.1,0.7,150,65
AD_1003,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,10,1,0,500000,12500,1250,36000.0,0.025,28.8,0.25,0.35,0.2,0.05,0.75,180,70
AD_1004,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,10,1,0,450000,10800,1080,33000.0,0.024,30.6,0.24,0.34,0.18,0.06,0.72,160,68
AD_1005,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,10,1,0,80000,1200,120,15000.0,0.015,125.0,0.1,0.55,0.35,0.15,0.85,300,90
AD_1006,Facebook,Healofy,Image,Community,Install App,Vernacular,Hindi,4000,Target_CPA,22,0,0,0,0,1,0,10,1,0,50000,2000,200,12000.0,0.04,60.0,0.15,0.45,0.25,0.08,0.8,210,80
AD_1007,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,10,1,0,100000,3500,350,18000.0,0.035,51.4,0.2,0.4,0.22,0.09,0.78,190,75
AD_1008,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,10,1,0,30000,600,60,9000.0,0.02,150.0,0.08,0.6,0.4,0.2,0.9,350,95
AD_1009,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,10,1,0,120000,3000,300,24000.0,0.025,80.0,0.18,0.42,0.28,0.12,0.82,240,85
AD_1010,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,10,1,0,250000,5000,500,27000.0,0.02,54.0,0.12,0.5,0.32,0.1,0.84,260,88
AD_1011,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,11,2,0,404000,28280,2828,49500.0,0.07,17.5,0.55,0.15,0.04,0.08,0.5,90,35
AD_1012,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,11,2,0,202000,6060,606,33000.0,0.03,54.5,0.3,0.3,0.15,0.1,0.7,150,65
AD_1013,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,11,2,0,505000,12625,1262,39600.0,0.025,31.4,0.25,0.35,0.2,0.05,0.75,180,70
AD_1014,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,11,2,0,454500,10908,1090,36300.0,0.024,33.3,0.24,0.34,0.18,0.06,0.72,160,68
AD_1015,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,11,2,0,80800,1212,121,16500.0,0.015,136.4,0.1,0.55,0.35,0.15,0.85,300,90
AD_1016,Facebook,Healofy,Image,Community,Install App,Vernacular,Tamil,4000,Target_CPA,22,0,0,0,0,1,0,11,2,0,50500,2020,202,13200.0,0.04,65.3,0.15,0.45,0.25,0.08,0.8,210,80
AD_1017,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,11,2,0,101000,3535,353,19800.0,0.035,56.1,0.2,0.4,0.22,0.09,0.78,190,75
AD_1018,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,11,2,0,30300,606,60,9900.0,0.02,165.0,0.08,0.6,0.4,0.2,0.9,350,95
AD_1019,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,11,2,0,121200,3030,303,26400.0,0.025,87.1,0.18,0.42,0.28,0.12,0.82,240,85
AD_1020,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,11,2,0,252500,5050,505,29700.0,0.02,58.8,0.12,0.5,0.32,0.1,0.84,260,88
AD_1021,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,12,3,0,408000,28560,2856,54000.0,0.07,18.9,0.55,0.15,0.04,0.08,0.5,90,35
AD_1022,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,12,3,0,204000,6120,612,36000.0,0.03,58.8,0.3,0.3,0.15,0.1,0.7,150,65
AD_1023,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,12,3,0,510000,12750,1275,43200.0,0.025,33.9,0.25,0.35,0.2,0.05,0.75,180,70
AD_1024,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,12,3,0,459000,11016,1101,39600.0,0.024,36.0,0.24,0.34,0.18,0.06,0.72,160,68
AD_1025,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,12,3,0,81600,1224,122,18000.0,0.015,147.5,0.1,0.55,0.35,0.15,0.85,300,90
AD_1026,Facebook,Healofy,Image,Community,Install App,Vernacular,Telugu,4000,Target_CPA,22,0,0,0,0,1,0,12,3,0,51000,2040,204,14400.0,0.04,70.6,0.15,0.45,0.25,0.08,0.8,210,80
AD_1027,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,12,3,0,102000,3570,357,21600.0,0.035,60.5,0.2,0.4,0.22,0.09,0.78,190,75
AD_1028,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,12,3,0,30600,612,61,10800.0,0.02,177.0,0.08,0.6,0.4,0.2,0.9,350,95
AD_1029,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,12,3,0,122400,3060,306,28800.0,0.025,94.1,0.18,0.42,0.28,0.12,0.82,240,85
AD_1030,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,12,3,0,255000,5100,510,32400.0,0.02,63.5,0.12,0.5,0.32,0.1,0.84,260,88
AD_1031,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,13,4,0,412000,28840,2884,58500.0,0.07,20.3,0.55,0.15,0.04,0.08,0.5,90,35
AD_1032,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,13,4,0,206000,6180,618,39000.0,0.03,63.1,0.3,0.3,0.15,0.1,0.7,150,65
AD_1033,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,13,4,0,515000,12875,1287,46800.0,0.025,36.4,0.25,0.35,0.2,0.05,0.75,180,70
AD_1034,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,13,4,0,463500,11124,1112,42900.0,0.024,38.6,0.24,0.34,0.18,0.06,0.72,160,68
AD_1035,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,13,4,0,82400,1236,123,19500.0,0.015,158.5,0.1,0.55,0.35,0.15,0.85,300,90
AD_1036,Facebook,Healofy,Image,Community,Install App,Vernacular,Hindi,4000,Target_CPA,22,0,0,0,0,1,0,13,4,0,51500,2060,206,15600.0,0.04,75.7,0.15,0.45,0.25,0.08,0.8,210,80
AD_1037,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,13,4,0,103000,3605,360,23400.0,0.035,65.0,0.2,0.4,0.22,0.09,0.78,190,75
AD_1038,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,13,4,0,30900,618,61,11700.0,0.02,191.8,0.08,0.6,0.4,0.2,0.9,350,95
AD_1039,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,13,4,0,123600,3090,309,31200.0,0.025,101.0,0.18,0.42,0.28,0.12,0.82,240,85
AD_1040,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,13,4,0,257500,5150,515,35100.0,0.02,68.2,0.12,0.5,0.32,0.1,0.84,260,88
AD_1041,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,14,5,0,416000,29120,2912,63000.0,0.07,21.6,0.55,0.15,0.04,0.08,0.5,90,35
AD_1042,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,14,5,0,208000,6240,624,42000.0,0.03,67.3,0.3,0.3,0.15,0.1,0.7,150,65
AD_1043,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,14,5,0,520000,13000,1300,50400.0,0.025,38.8,0.25,0.35,0.2,0.05,0.75,180,70
AD_1044,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,14,5,0,468000,11232,1123,46200.0,0.024,41.1,0.24,0.34,0.18,0.06,0.72,160,68
AD_1045,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,14,5,0,83200,1248,124,21000.0,0.015,169.4,0.1,0.55,0.35,0.15,0.85,300,90
AD_1046,Facebook,Healofy,Image,Community,Install App,Vernacular,Tamil,4000,Target_CPA,22,0,0,0,0,1,0,14,5,0,52000,2080,208,16800.0,0.04,80.8,0.15,0.45,0.25,0.08,0.8,210,80
AD_1047,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,14,5,0,104000,3640,364,25200.0,0.035,69.2,0.2,0.4,0.22,0.09,0.78,190,75
AD_1048,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,14,5,0,31200,624,62,12600.0,0.02,203.2,0.08,0.6,0.4,0.2,0.9,350,95
AD_1049,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,14,5,0,124800,3120,312,33600.0,0.025,107.7,0.18,0.42,0.28,0.12,0.82,240,85
AD_1050,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,14,5,0,260000,5200,520,37800.0,0.02,72.7,0.12,0.5,0.32,0.1,0.84,260,88
AD_1051,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,15,6,0,420000,29400,2940,67500.0,0.07,23.0,0.55,0.15,0.04,0.08,0.5,90,35
AD_1052,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,15,6,0,210000,6300,630,45000.0,0.03,71.4,0.3,0.3,0.15,0.1,0.7,150,65
AD_1053,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,15,6,0,525000,13125,1312,54000.0,0.025,41.2,0.25,0.35,0.2,0.05,0.75,180,70
AD_1054,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,15,6,0,472500,11340,1134,49500.0,0.024,43.7,0.24,0.34,0.18,0.06,0.72,160,68
AD_1055,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,15,6,0,84000,1260,126,22500.0,0.015,178.6,0.1,0.55,0.35,0.15,0.85,300,90
AD_1056,Facebook,Healofy,Image,Community,Install App,Vernacular,Telugu,4000,Target_CPA,22,0,0,0,0,1,0,15,6,0,52500,2100,210,18000.0,0.04,85.7,0.15,0.45,0.25,0.08,0.8,210,80
AD_1057,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,15,6,0,105000,3675,367,27000.0,0.035,73.6,0.2,0.4,0.22,0.09,0.78,190,75
AD_1058,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,15,6,0,31500,630,63,13500.0,0.02,214.3,0.08,0.6,0.4,0.2,0.9,350,95
AD_1059,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,15,6,0,126000,3150,315,36000.0,0.025,114.3,0.18,0.42,0.28,0.12,0.82,240,85
AD_1060,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,15,6,0,262500,5250,525,40500.0,0.02,77.1,0.12,0.5,0.32,0.1,0.84,260,88
AD_1061,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,16,7,0,424000,29680,2968,72000.0,0.07,24.3,0.55,0.15,0.04,0.08,0.5,90,35
AD_1062,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,16,7,0,212000,6360,636,48000.0,0.03,75.5,0.3,0.3,0.15,0.1,0.7,150,65
AD_1063,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,16,7,0,530000,13250,1325,57600.0,0.025,43.5,0.25,0.35,0.2,0.05,0.75,180,70
AD_1064,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,16,7,0,477000,11448,1144,52800.0,0.024,46.2,0.24,0.34,0.18,0.06,0.72,160,68
AD_1065,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,16,7,0,84800,1272,127,24000.0,0.015,189.0,0.1,0.55,0.35,0.15,0.85,300,90
AD_1066,Facebook,Healofy,Image,Community,Install App,Vernacular,Hindi,4000,Target_CPA,22,0,0,0,0,1,0,16,7,0,53000,2120,212,19200.0,0.04,90.6,0.15,0.45,0.25,0.08,0.8,210,80
AD_1067,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,16,7,0,106000,3710,371,28800.0,0.035,77.6,0.2,0.4,0.22,0.09,0.78,190,75
AD_1068,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,16,7,0,31800,636,63,14400.0,0.02,228.6,0.08,0.6,0.4,0.2,0.9,350,95
AD_1069,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,16,7,0,127200,3180,318,38400.0,0.025,120.8,0.18,0.42,0.28,0.12,0.82,240,85
AD_1070,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,16,7,0,265000,5300,530,43200.0,0.02,81.5,0.12,0.5,0.32,0.1,0.84,260,88
AD_1071,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,17,8,0,428000,29960,2996,76500.0,0.07,25.5,0.55,0.15,0.04,0.08,0.5,90,35
AD_1072,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,17,8,0,214000,6420,642,51000.0,0.03,79.4,0.3,0.3,0.15,0.1,0.7,150,65
AD_1073,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,17,8,0,535000,13375,1337,61200.0,0.025,45.8,0.25,0.35,0.2,0.05,0.75,180,70
AD_1074,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,17,8,0,481500,11556,1155,56100.0,0.024,48.6,0.24,0.34,0.18,0.06,0.72,160,68
AD_1075,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,17,8,0,85600,1284,128,25500.0,0.015,199.2,0.1,0.55,0.35,0.15,0.85,300,90
AD_1076,Facebook,Healofy,Image,Community,Install App,Vernacular,Tamil,4000,Target_CPA,22,0,0,0,0,1,0,17,8,0,53500,2140,214,20400.0,0.04,95.3,0.15,0.45,0.25,0.08,0.8,210,80
AD_1077,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,17,8,0,107000,3745,374,30600.0,0.035,81.8,0.2,0.4,0.22,0.09,0.78,190,75
AD_1078,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,17,8,0,32100,642,64,15300.0,0.02,239.1,0.08,0.6,0.4,0.2,0.9,350,95
AD_1079,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,17,8,0,128400,3210,321,40800.0,0.025,127.1,0.18,0.42,0.28,0.12,0.82,240,85
AD_1080,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,17,8,0,267500,5350,535,45900.0,0.02,85.8,0.12,0.5,0.32,0.1,0.84,260,88
AD_1081,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,18,9,0,432000,30240,3024,81000.0,0.07,26.8,0.55,0.15,0.04,0.08,0.5,90,35
AD_1082,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,18,9,0,216000,6480,648,54000.0,0.03,83.3,0.3,0.3,0.15,0.1,0.7,150,65
AD_1083,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,18,9,0,540000,13500,1350,64800.0,0.025,48.0,0.25,0.35,0.2,0.05,0.75,180,70
AD_1084,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,18,9,0,486000,11664,1166,59400.0,0.024,50.9,0.24,0.34,0.18,0.06,0.72,160,68
AD_1085,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,18,9,0,86400,1296,129,27000.0,0.015,209.3,0.1,0.55,0.35,0.15,0.85,300,90
AD_1086,Facebook,Healofy,Image,Community,Install App,Vernacular,Telugu,4000,Target_CPA,22,0,0,0,0,1,0,18,9,0,54000,2160,216,21600.0,0.04,100.0,0.15,0.45,0.25,0.08,0.8,210,80
AD_1087,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,18,9,0,108000,3780,378,32400.0,0.035,85.7,0.2,0.4,0.22,0.09,0.78,190,75
AD_1088,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,18,9,0,32400,648,64,16200.0,0.02,253.1,0.08,0.6,0.4,0.2,0.9,350,95
AD_1089,Instagram,HealthKart_Women,Video,Ingredient_Science,Shop Now,Wellness,English,8000,Target_ROAS,25,1,0,1,0,0,45,18,9,0,129600,3240,324,43200.0,0.025,133.3,0.18,0.42,0.28,0.12,0.82,240,85
AD_1090,YouTube,Himalaya_BabyCare,Video,Heritage_Trust,Shop Now,Parents_0_3,English,9000,Target_CPA,16,0,0,1,0,0,30,18,9,0,270000,5400,540,48600.0,0.02,90.0,0.12,0.5,0.32,0.1,0.84,260,88
AD_1091,Facebook,FirstCry,Carousel,Discount,Shop Now,Parents_0_3,English,15000,Target_CPA,12,1,1,0,1,1,0,19,10,0,436000,30520,3052,85500.0,0.07,28.0,0.55,0.15,0.04,0.08,0.5,90,35
AD_1092,Instagram,MamEarth_Baby,Video,UGC,Shop Now,Eco_Moms,English,10000,Max_Conversions,20,0,0,0,0,1,30,19,10,0,218000,6540,654,57000.0,0.03,87.2,0.3,0.3,0.15,0.1,0.7,150,65
AD_1093,YouTube,Pampers_India,Video,Emotional,Learn More,New_Parents,English,12000,Target_CPM,15,0,0,0,0,1,60,19,10,0,545000,13625,1362,68400.0,0.025,50.2,0.25,0.35,0.2,0.05,0.75,180,70
AD_1094,Facebook,Huggies_India,Image,Lifestyle,Learn More,New_Parents,English,11000,Max_Clicks,18,0,0,0,0,1,0,19,10,0,490500,11772,1177,62700.0,0.024,53.3,0.24,0.34,0.18,0.06,0.72,160,68
AD_1095,Google_Search,PharmEasy_Baby,Text,Doctor_Expert,Book Now,Health_Moms,English,5000,Target_ROAS,30,1,0,1,1,0,0,19,10,0,87200,1308,130,28500.0,0.015,219.2,0.1,0.55,0.35,0.15,0.85,300,90
AD_1096,Facebook,Healofy,Image,Community,Install App,Vernacular,Hindi,4000,Target_CPA,22,0,0,0,0,1,0,19,10,0,54500,2180,218,22800.0,0.04,104.6,0.15,0.45,0.25,0.08,0.8,210,80
AD_1097,Instagram,BabyChakra,Carousel,Testimonial,Install App,Expecting,English,6000,Target_CPA,35,0,0,0,0,1,0,19,10,0,109000,3815,381,34200.0,0.035,89.8,0.2,0.4,0.22,0.09,0.78,190,75
AD_1098,Google_Search,Pregakem,Text,Educational,Learn More,TTC_Women,English,3000,Max_Conversions,28,0,0,1,0,0,0,19,10,0,32700,654,65,17100.0,0.02,263.1,0.08,0.6,0.4,0.2,0.9,350,95
